0,1,2,3,4,5,6,7,8,9
18,48,0,49,43,0,18.80138888888889,49.71736111111111,0,0
18,42,40,50,23,40,18.7125,50.39513888888889,0,0
18,47,0,50,18,5,18.784722222222225,50.30208333333333,0,0
18,47,0,50,18,30,18.784722222222225,50.30902777777777,0,0
18,47,10,50,18,30,18.7875,50.30902777777777,0,0
18,47,20,50,18,10,18.790277777777778,50.30347222222222,0,0
18,51,30,50,26,40,18.859722222222224,50.445138888888884,0,0
18,52,30,50,17,0,18.87638888888889,50.28402777777777,0,0
18,52,30,50,17,5,18.87638888888889,50.28541666666666,0,0
18,52,40,50,17,55,18.879166666666666,50.299305555555556,0,0
18,54,30,50,21,10,18.90972222222222,50.35347222222222,0,0
18,54,50,50,20,35,18.915277777777778,50.34375,0,0
18,55,20,50,20,35,18.92361111111111,50.34375,0,0
18,59,20,50,16,0,18.990277777777777,50.26736111111111,0,0
18,59,20,50,16,5,18.990277777777777,50.26875,0,0
19,0,50,50,15,35,19.01527777777778,50.260416666666664,0,0
19,0,50,50,15,40,19.01527777777778,50.261805555555554,0,0
19,0,50,50,15,45,19.01527777777778,50.263194444444444,0,0
19,1,0,50,15,50,19.018055555555556,50.264583333333334,0,0
19,1,0,50,15,55,19.018055555555556,50.265972222222224,0,0
19,1,20,50,15,50,19.02361111111111,50.264583333333334,0,0
19,2,20,50,15,40,19.040277777777778,50.261805555555554,0,0
19,4,10,50,42,30,19.070833333333333,50.70902777777778,0,0
19,5,10,50,49,5,19.0875,50.81875,0,0
19,5,50,50,48,55,19.09861111111111,50.81597222222222,0,0
19,6,0,50,48,10,19.10138888888889,50.80347222222222,0,0
19,6,10,50,48,35,19.104166666666668,50.81041666666666,0,0
19,6,10,50,49,0,19.104166666666668,50.81736111111111,0,0
19,6,10,50,49,25,19.104166666666668,50.82430555555556,0,0
19,6,30,50,47,50,19.109722222222224,50.797916666666666,0,0
19,6,40,50,48,25,19.1125,50.80763888888889,0,0
19,6,40,50,48,40,19.1125,50.81180555555555,0,0
19,6,40,50,49,0,19.1125,50.81736111111111,0,0
19,6,40,50,49,30,19.1125,50.825694444444444,0,0
19,6,50,50,48,40,19.11527777777778,50.81180555555555,0,0
19,6,50,50,48,45,19.11527777777778,50.81319444444444,0,0
19,6,50,50,48,50,19.11527777777778,50.81458333333333,0,0
19,6,50,50,48,55,19.11527777777778,50.81597222222222,0,0
19,6,50,50,49,0,19.11527777777778,50.81736111111111,0,0
19,6,50,50,49,5,19.11527777777778,50.81875,0,0
19,7,0,50,48,25,19.118055555555557,50.80763888888889,0,0
19,7,0,50,48,40,19.118055555555557,50.81180555555555,0,0
19,7,0,50,49,0,19.118055555555557,50.81736111111111,0,0
19,7,0,50,49,10,19.118055555555557,50.82013888888889,0,0
19,7,0,50,49,30,19.118055555555557,50.825694444444444,0,0
19,7,0,50,49,55,19.118055555555557,50.832638888888894,0,0
19,7,10,50,48,40,19.120833333333334,50.81180555555555,0,0
19,7,30,50,47,0,19.12638888888889,50.78402777777777,0,0
19,7,30,50,47,35,19.12638888888889,50.793749999999996,0,0
19,7,40,50,47,0,19.129166666666666,50.78402777777777,0,0
19,7,40,50,48,25,19.129166666666666,50.80763888888889,0,0
19,7,40,50,49,0,19.129166666666666,50.81736111111111,0,0
19,7,50,50,17,5,19.131944444444446,50.28541666666666,0,0
19,7,50,50,17,25,19.131944444444446,50.29097222222222,0,0
19,7,50,50,47,20,19.131944444444446,50.78958333333333,0,0
19,8,10,50,47,10,19.1375,50.78680555555555,0,0
19,8,20,50,47,0,19.140277777777776,50.78402777777777,0,0
19,8,50,50,47,10,19.148611111111112,50.78680555555555,0,0
19,8,50,50,50,50,19.148611111111112,50.84791666666667,0,0
19,9,30,50,35,25,19.15972222222222,50.59097222222223,0,0
19,10,20,50,15,50,19.17361111111111,50.264583333333334,0,0
19,11,40,50,19,15,19.195833333333333,50.32152777777778,0,0
19,24,50,50,29,15,19.415277777777778,50.488194444444446,0,0
